size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.39738,0.263936,0.014144,5.35021,109.781
20000000,1024,6.67002,0.515136,0.024704,9.42819,71.6121
30000000,1024,9.66816,0.73008,0.018464,13.2769,74.7056
40000000,1024,12.8713,0.961632,0.02256,15.7168,80.5249
50000000,1024,16.1196,1.19037,0.018944,19.3099,107.588
60000000,1024,19.6175,1.42211,0.021792,24.5417,125.794
70000000,1024,22.4725,1.65085,0.018272,27.1844,90.5708
80000000,1024,25.703,1.8815,0.017408,30.6713,100.486
90000000,1024,28.9053,2.11392,0.0192,33.1203,130.456
100000000,1024,32.1212,2.33885,0.020064,37.6859,99.7332
