size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27158,0.262976,0.013536,5.19824,69.4243
20000000,1024,6.48918,0.498112,0.016544,8.74342,73.6035
30000000,1024,9.80042,0.728928,0.020768,13.4041,78.4986
40000000,1024,12.9149,0.960704,0.018848,15.7525,76.3126
50000000,1024,16.2859,1.19018,0.018688,19.3829,124.348
60000000,1024,19.3405,1.42061,0.01744,44.5631,109.076
70000000,1024,22.5139,1.64976,0.018528,56.1219,167.782
80000000,1024,25.7113,1.8809,0.019072,29.6509,91.5059
90000000,1024,28.8872,2.10989,0.017632,34.1474,96.7858
100000000,1024,32.115,2.34163,0.021696,62.2073,162.166
