size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.34592,0.283104,0.013632,37.3229,127.021
20000000,1024,6.59802,0.503168,0.017696,9.93526,70.6252
30000000,1024,9.67123,0.735168,0.018208,13.2972,75.8888
40000000,1024,12.8865,0.966656,0.018304,15.7345,77.8327
50000000,1024,16.0916,1.19888,0.018432,19.1993,105.891
60000000,1024,19.3265,1.43066,0.018624,24.07,122.062
70000000,1024,22.4756,1.66272,0.01808,26.0975,111.15
80000000,1024,25.7105,1.89664,0.019008,30.765,99.2132
90000000,1024,28.8824,2.12752,0.018464,34.1948,96.3438
100000000,1024,32.294,2.35942,0.018912,58.5223,152.618
