size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.3912,0.262752,0.01248,5.28045,68.4987
20000000,1024,6.4689,0.499488,0.018656,9.7943,71.4844
30000000,1024,9.70797,0.740768,0.025536,42.9227,108.383
40000000,1024,12.8856,0.959616,0.017568,15.7105,82.2634
50000000,1024,16.2787,1.1903,0.018784,33.3615,136.649
60000000,1024,19.2704,1.41923,0.018272,22.6745,87.1384
70000000,1024,22.4767,1.64886,0.018176,26.1292,88.6992
80000000,1024,25.6775,1.88035,0.018816,30.6586,95.4631
90000000,1024,28.9161,2.11206,0.020448,33.0898,126.469
100000000,1024,32.1301,2.34275,0.018592,36.6335,99.7189
