size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.29811,0.263232,0.013504,36.4083,112.431
20000000,1024,6.52938,0.509728,0.024992,41.8514,109.226
30000000,1024,9.69456,0.728736,0.01872,12.2232,74.5299
40000000,1024,12.887,0.960864,0.018304,16.7719,78.3704
50000000,1024,16.089,1.19021,0.018592,19.2027,81.4125
60000000,1024,19.3825,1.42176,0.01872,22.7543,126.37
70000000,1024,22.5027,1.64992,0.017888,26.1449,92.7009
80000000,1024,25.6592,1.88368,0.02,30.647,96.8847
90000000,1024,28.9134,2.11373,0.018976,34.1552,126.686
100000000,1024,32.0559,2.34336,0.018272,37.6281,100.67
