size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26877,0.269088,0.014656,35.603,121.948
20000000,1024,6.46285,0.503712,0.019296,9.79152,70.0805
30000000,1024,9.68099,0.735744,0.019808,13.2844,75.1959
40000000,1024,12.863,0.968544,0.018304,15.6919,78.1396
50000000,1024,16.0969,1.20048,0.018016,19.2177,111.716
60000000,1024,19.3382,1.43206,0.027232,22.8185,92.8549
70000000,1024,22.5026,1.66534,0.018752,27.1968,94.1268
80000000,1024,25.7177,1.8969,0.018432,29.6309,91.7994
90000000,1024,28.9562,2.13002,0.019296,66.3275,175.85
100000000,1024,32.0894,2.36154,0.020544,37.7463,99.7452
