size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27635,0.260864,0.012928,5.16653,72.8642
20000000,1024,6.48976,0.496672,0.017472,8.71693,74.2301
30000000,1024,9.66086,0.72736,0.017952,13.2364,78.6602
40000000,1024,12.9837,0.958784,0.022112,34.4025,136.526
50000000,1024,16.0589,1.18586,0.019264,19.1388,105.716
60000000,1024,19.4003,1.4159,0.02096,23.8849,130.563
70000000,1024,22.7094,1.64016,0.013056,27.3803,88.2409
80000000,1024,25.7153,1.8751,0.018592,30.6914,95.2281
90000000,1024,29.1283,2.0969,0.014432,40.0397,146.628
100000000,1024,32.084,2.3327,0.018976,37.6657,101.199
