size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27379,0.265344,0.012576,5.16163,71.0103
20000000,1024,6.75453,0.503872,0.01792,10.4466,109.711
30000000,1024,9.66435,0.73552,0.018176,12.2102,75.9374
40000000,1024,12.9017,0.968448,0.018592,15.7113,108.72
50000000,1024,16.0909,1.19872,0.018176,19.1815,83.7318
60000000,1024,19.2931,1.43037,0.018976,22.6619,84.1676
70000000,1024,22.5653,1.66458,0.018592,48.3663,110.14
80000000,1024,25.8126,1.89494,0.019872,61.7611,171.11
90000000,1024,28.9266,2.12797,0.01808,34.2,96.3937
100000000,1024,32.1219,2.35862,0.019264,37.6981,101.73
