size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27702,0.265696,0.01568,5.18419,72.9414
20000000,1024,6.48259,0.495424,0.015968,8.6984,69.0267
30000000,1024,9.79466,0.730688,0.019552,13.3996,79.8232
40000000,1024,12.8757,0.959936,0.018624,15.694,83.0312
50000000,1024,16.2124,1.19014,0.018368,19.286,125.327
60000000,1024,19.3183,1.42125,0.01968,22.714,87.1225
70000000,1024,22.4786,1.65091,0.018496,35.7409,119.743
80000000,1024,25.6802,1.88208,0.019712,30.6785,92.4021
90000000,1024,29.0426,2.11242,0.01968,34.35,98.6993
100000000,1024,32.1232,2.3465,0.02048,37.7064,131.402
