size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.28064,0.263328,0.013152,5.1753,68.6454
20000000,1024,6.46758,0.499808,0.0168,9.81491,76.7359
30000000,1024,9.70486,0.729696,0.019648,12.2196,95.7873
40000000,1024,12.8721,0.960256,0.019296,16.7652,116.124
50000000,1024,16.138,1.19024,0.019104,49.1042,138.184
60000000,1024,19.2947,1.42198,0.0208,23.7667,127.64
70000000,1024,22.4787,1.65046,0.017728,27.1986,89.2159
80000000,1024,25.6837,1.88074,0.01872,30.6693,93.1155
90000000,1024,28.8716,2.11069,0.01856,33.0589,94.0032
100000000,1024,32.1103,2.34176,0.020544,36.5802,102.491
