size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27421,0.264224,0.013504,5.2128,95.0164
20000000,1024,6.4703,0.499456,0.018144,8.71018,71.0729
30000000,1024,9.67795,0.729248,0.017088,12.2137,77.3222
40000000,1024,12.8836,0.961632,0.018464,15.6889,76.7957
50000000,1024,16.1952,1.19034,0.01856,19.2954,127.387
60000000,1024,19.2582,1.42128,0.017888,22.6234,84.4223
70000000,1024,22.4678,1.65094,0.019712,26.1068,87.8968
80000000,1024,25.6828,1.88298,0.019232,30.6546,91.7775
90000000,1024,28.8852,2.11149,0.021408,34.1594,95.2242
100000000,1024,32.09,2.34131,0.020832,37.6472,124.205
