size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26547,0.26496,0.013088,5.26739,72.7932
20000000,1024,6.60118,0.502176,0.017312,9.92112,76.7803
30000000,1024,9.68035,0.734592,0.017792,12.2012,73.5908
40000000,1024,12.8874,0.968128,0.019712,16.7851,112.797
50000000,1024,16.2276,1.19958,0.017792,29.0117,89.7516
60000000,1024,19.3856,1.43514,0.018208,22.7578,116.525
70000000,1024,22.4742,1.66435,0.017536,27.186,92.7619
80000000,1024,25.6818,1.89549,0.018464,29.6173,90.9429
90000000,1024,28.9477,2.12563,0.01792,64.6869,158.675
100000000,1024,32.1345,2.36016,0.019488,38.5826,115.206
