size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26803,0.265472,0.01296,5.16771,75.4937
20000000,1024,6.48451,0.502208,0.018304,8.74026,95.0443
30000000,1024,9.9225,0.73584,0.019776,34.4638,137.944
40000000,1024,12.8729,0.96752,0.019232,15.6717,82.055
50000000,1024,16.0977,1.20054,0.018656,19.2061,79.3365
60000000,1024,19.2927,1.43283,0.018784,23.8291,92.5294
70000000,1024,22.5079,1.6655,0.0192,26.1594,122.61
80000000,1024,25.7506,1.88419,0.020256,31.4485,161.045
90000000,1024,28.9128,2.11072,0.020288,33.1179,94.109
100000000,1024,32.0885,2.34138,0.018304,37.6666,99.6213
