size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.39731,0.265472,0.013152,5.32022,64.4529
20000000,1024,6.46947,0.502624,0.017728,8.73232,69.7695
30000000,1024,9.82822,0.738496,0.018368,12.4012,76.253
40000000,1024,12.8816,0.965376,0.017504,15.7051,78.0501
50000000,1024,16.1111,1.19411,0.013952,19.1101,81.1976
60000000,1024,19.2998,1.43219,0.01872,52.884,156.456
70000000,1024,22.503,1.66422,0.019776,26.1612,87.5076
80000000,1024,25.6561,1.89462,0.018624,29.5932,98.4397
90000000,1024,28.8649,2.13066,0.019424,34.1274,132.366
100000000,1024,32.2374,2.36032,0.018784,37.8664,98.5208
