size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27213,0.26368,0.012704,5.20099,66.4489
20000000,1024,6.46755,0.499744,0.018176,8.73485,71.0797
30000000,1024,9.82224,0.731168,0.019808,12.354,110.447
40000000,1024,12.8865,0.96064,0.01872,16.7809,121.558
50000000,1024,16.1717,1.19059,0.0184,49.2524,114.096
60000000,1024,19.2734,1.42048,0.01872,22.6284,112.431
70000000,1024,22.504,1.652,0.018464,26.122,86.989
80000000,1024,25.7068,1.88243,0.019456,30.7187,92.771
90000000,1024,28.911,2.11296,0.01984,42.2408,144.459
100000000,1024,32.1217,2.34294,0.020032,37.6896,100.202
