size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.39379,0.264544,0.014016,5.3279,72.4585
20000000,1024,6.48058,0.498688,0.017056,8.72054,74.2608
30000000,1024,9.67802,0.728416,0.018944,13.2924,77.5545
40000000,1024,12.896,0.95968,0.018528,15.6969,99.8603
50000000,1024,16.1643,1.19008,0.020192,49.1679,110.168
60000000,1024,19.2576,1.4209,0.018816,22.6206,84.5187
70000000,1024,22.6313,1.65155,0.01856,27.3677,100.838
80000000,1024,25.7869,1.88266,0.019136,31.4156,125.667
90000000,1024,28.9152,2.11104,0.019456,34.2091,99.8726
100000000,1024,32.1187,2.34058,0.021248,62.4722,162.066
