size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.39523,0.265344,0.01312,5.30973,67.8475
20000000,1024,6.47514,0.499936,0.014976,8.7065,70.7734
30000000,1024,9.66243,0.736288,0.019232,12.2099,74.3923
40000000,1024,12.8729,0.968704,0.019328,16.8402,118.888
50000000,1024,16.09,1.20003,0.018912,19.175,81.9445
60000000,1024,19.2814,1.43939,0.013376,23.6795,91.2401
70000000,1024,22.522,1.66339,0.018464,56.7165,117.506
80000000,1024,25.7604,1.89942,0.022656,30.2905,132.829
90000000,1024,28.8829,2.12778,0.018976,34.1637,96.2526
100000000,1024,32.088,2.3616,0.020768,37.6848,99.891
