size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27443,0.264032,0.013088,5.1545,67.6676
20000000,1024,6.58803,0.498656,0.01744,9.92877,71.7346
30000000,1024,9.66454,0.729024,0.018496,12.1697,106.156
40000000,1024,12.8995,0.961888,0.018848,15.6852,112.236
50000000,1024,16.1958,1.19226,0.01968,19.7697,88.6203
60000000,1024,19.2764,1.42067,0.01904,22.6672,86.0408
70000000,1024,22.6555,1.65187,0.0192,49.7326,164.297
80000000,1024,25.6852,1.88253,0.018656,30.6816,92.6348
90000000,1024,28.8707,2.11322,0.019616,34.1339,95.2466
100000000,1024,32.0698,2.34182,0.01856,37.6411,99.8039
