size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27952,0.262752,0.013376,5.17421,66.1534
20000000,1024,6.47398,0.496832,0.017728,9.78317,72.7407
30000000,1024,9.67843,0.726016,0.017984,12.3921,109.678
40000000,1024,12.8711,0.956064,0.01904,15.6634,77.967
50000000,1024,16.0918,1.1847,0.018176,19.1629,83.2965
60000000,1024,19.2591,1.41309,0.018624,23.7117,94.1518
70000000,1024,22.6102,1.64592,0.01936,59.7828,152.975
80000000,1024,25.6742,1.87334,0.018368,30.6729,98.2184
90000000,1024,28.8565,2.10442,0.020384,34.3613,129.002
100000000,1024,32.1184,2.33322,0.019232,37.6643,99.2509
