size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27926,0.263264,0.01296,5.17882,69.6135
20000000,1024,6.46794,0.498496,0.017504,8.72509,74.6036
30000000,1024,9.78685,0.728064,0.01888,12.3159,100.565
40000000,1024,12.8827,0.953792,0.012992,15.6156,120.03
50000000,1024,16.1286,1.19046,0.021184,19.2224,105.039
60000000,1024,19.3059,1.42016,0.019488,22.6962,123.654
70000000,1024,22.4731,1.65254,0.017696,27.1852,91.4403
80000000,1024,25.7077,1.88307,0.01872,29.6109,90.0853
90000000,1024,29.0906,2.11274,0.01856,34.3923,132.156
100000000,1024,32.121,2.34102,0.01904,36.5935,100.105
