size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.33677,0.284352,0.021696,5.66845,77.8268
20000000,1024,6.46845,0.497312,0.017888,8.69037,70.2682
30000000,1024,9.6769,0.726368,0.015328,12.1554,72.2524
40000000,1024,12.8823,0.96016,0.017856,16.776,82.8388
50000000,1024,16.0959,1.1903,0.018688,19.1729,85.1475
60000000,1024,19.2917,1.41971,0.018016,23.7419,91.1792
70000000,1024,22.6861,1.65056,0.02016,57.3366,160.888
80000000,1024,25.6575,1.88077,0.018592,30.689,100.094
90000000,1024,28.8641,2.11056,0.018432,34.1194,105.475
100000000,1024,32.12,2.34685,0.019264,69.6749,155.927
