size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.28154,0.269056,0.01488,35.6861,115.724
20000000,1024,6.48675,0.50384,0.018592,8.73379,68.9361
30000000,1024,9.67926,0.735296,0.019104,13.2946,75.7342
40000000,1024,12.8924,0.967776,0.017856,16.7878,80.2615
50000000,1024,16.1003,1.20128,0.0184,19.1884,117.367
60000000,1024,19.3924,1.4335,0.019072,24.4055,127.574
70000000,1024,22.5042,1.66394,0.018208,27.2461,93.3843
80000000,1024,25.7108,1.89738,0.019168,30.7101,97.0445
90000000,1024,28.9154,2.13005,0.019232,34.1955,97.1379
100000000,1024,32.0749,2.35971,0.018304,37.629,99.3588
