size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27984,0.263456,0.012832,5.19066,67.2317
20000000,1024,6.47523,0.499264,0.016928,8.72122,70.424
30000000,1024,9.66666,0.728768,0.017824,12.217,80.0032
40000000,1024,13.0857,0.96176,0.019616,16.9627,119.141
50000000,1024,16.1886,1.1912,0.018368,19.3061,84.2322
60000000,1024,19.4306,1.44125,0.021152,52.5825,114.039
70000000,1024,22.5021,1.65085,0.018592,27.2263,90.4793
80000000,1024,25.7095,1.88195,0.018592,30.699,93.2738
90000000,1024,28.9361,2.10944,0.01616,34.1738,99.3355
100000000,1024,32.1191,2.34131,0.019552,37.7783,135.931
