size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.57491,0.28336,0.025376,38.1651,136.972
20000000,1024,6.4919,0.502688,0.01872,8.74528,76.0484
30000000,1024,9.67955,0.733056,0.018944,12.2019,83.7136
40000000,1024,12.9174,0.966784,0.018784,15.7491,79.0432
50000000,1024,16.0894,1.19802,0.017952,19.1855,80.7215
60000000,1024,19.2749,1.42986,0.01888,23.7117,90.577
70000000,1024,22.5029,1.66371,0.0184,27.2157,92.1967
80000000,1024,25.7219,1.89706,0.019872,30.8198,128.049
90000000,1024,28.9153,2.12829,0.019456,33.1309,94.4227
100000000,1024,32.081,2.35514,0.014048,37.5694,99.3794
