size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26928,0.26304,0.013312,5.16006,75.9953
20000000,1024,6.49712,0.497856,0.020832,8.76698,71.3552
30000000,1024,9.66653,0.729792,0.018528,12.1819,77.7203
40000000,1024,12.9152,0.959456,0.018144,15.7,76.4898
50000000,1024,16.0939,1.19104,0.019008,41.4933,133.451
60000000,1024,19.2964,1.42141,0.01968,23.9036,123.706
70000000,1024,22.5472,1.65139,0.018336,26.1694,87.8651
80000000,1024,25.6878,1.88006,0.0184,30.6768,95.0341
90000000,1024,29.041,2.11091,0.02016,34.3443,132.036
100000000,1024,32.058,2.34544,0.02128,36.5806,109.194
