size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26752,0.265472,0.013824,5.15475,66.7398
20000000,1024,6.47894,0.502336,0.017536,8.74317,71.5363
30000000,1024,9.67072,0.73504,0.017568,12.1957,72.4631
40000000,1024,12.8828,0.96736,0.018976,16.7802,114.162
50000000,1024,16.0747,1.19952,0.01872,19.1531,80.1858
60000000,1024,19.2591,1.43238,0.019328,22.633,84.352
70000000,1024,22.5876,1.66502,0.01968,26.8748,89.7712
80000000,1024,25.6885,1.89696,0.01968,55.8852,158.764
90000000,1024,28.8593,2.12941,0.020736,62.7601,149.219
100000000,1024,32.1197,2.36102,0.019936,36.635,104.071
