size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.27562,0.264256,0.012928,37.0541,143.548
20000000,1024,6.48154,0.503072,0.018208,8.7464,76.3149
30000000,1024,9.80336,0.735936,0.019264,12.3532,74.1426
40000000,1024,12.885,0.967072,0.018816,15.705,79.0797
50000000,1024,16.2857,1.20013,0.017632,19.4123,128.341
60000000,1024,19.262,1.4281,0.016,23.6698,94.6166
70000000,1024,22.5124,1.66035,0.01552,27.1696,88.2805
80000000,1024,25.694,1.89731,0.019264,30.7788,92.21
90000000,1024,29.1001,2.13043,0.01968,36.0942,144.401
100000000,1024,32.0726,2.36246,0.01968,37.649,103.283
