size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26531,0.262688,0.013376,5.26211,65.8003
20000000,1024,6.48042,0.499936,0.0192,9.78637,116.85
30000000,1024,9.72771,0.72688,0.017536,12.6399,77.2909
40000000,1024,12.9182,0.960512,0.019872,15.7556,82.5089
50000000,1024,16.0741,1.1912,0.019136,19.1643,80.6572
60000000,1024,19.4199,1.42035,0.019904,22.782,127.205
70000000,1024,22.4994,1.64931,0.019104,27.1847,89.6152
80000000,1024,25.8894,1.88029,0.019264,30.8973,134.856
90000000,1024,29.0236,2.116,0.020832,34.9338,101.832
100000000,1024,32.1207,2.34202,0.020512,37.6968,103.709
