size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26992,0.2648,0.013696,5.18963,70.1804
20000000,1024,6.48947,0.499264,0.017888,8.71533,101.066
30000000,1024,9.70694,0.72976,0.018368,12.2539,111.707
40000000,1024,12.9107,0.959392,0.018304,15.7171,81.9536
50000000,1024,16.0773,1.18896,0.01792,19.1315,85.0526
60000000,1024,19.5055,1.41987,0.01808,43.0482,105.647
70000000,1024,22.6284,1.65139,0.019232,27.326,129.729
80000000,1024,25.714,1.87437,0.012352,30.6418,94.4257
90000000,1024,28.9161,2.10986,0.017856,34.183,100.458
100000000,1024,32.1214,2.34237,0.019552,36.7778,138.768
