size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.26576,0.264352,0.013696,34.6808,137.436
20000000,1024,6.61325,0.499584,0.017504,8.86672,68.453
30000000,1024,9.67978,0.730208,0.018784,12.2279,76.4288
40000000,1024,12.8836,0.959936,0.018016,15.7027,79.8073
50000000,1024,16.3368,1.19232,0.018592,49.3323,138.784
60000000,1024,19.4208,1.4241,0.019392,22.8232,102.725
70000000,1024,22.711,1.65056,0.018176,26.3181,127.805
80000000,1024,25.783,1.88202,0.02064,29.7479,97.549
90000000,1024,28.9162,2.11187,0.01904,34.1702,95.445
100000000,1024,32.1213,2.34176,0.01968,37.6903,103.076
