size,map_duration,reduce_duration,zip_duration
10000000,44.7871,33.3673,69.3667
20000000,88.9518,66.5219,138.821
30000000,133.15,99.346,208.182
40000000,177.569,132.845,276.958
50000000,233.899,166.659,350.021
60000000,280.53,199.038,416.516
70000000,327.75,231.926,486.006
80000000,360.933,264.55,552.466
90000000,394.346,299.875,623.966
100000000,445.749,333.442,694.844
