size,map_duration,reduce_duration,zip_duration
10000000,44.5768,33.2063,69.6175
20000000,88.3714,66.2658,139.057
30000000,133.356,99.3617,209.01
40000000,176.526,134.996,277.719
50000000,222.477,165.47,345.578
60000000,265.837,201.973,416.729
70000000,310.036,234.083,486.474
80000000,353.986,264.878,552.984
90000000,401.684,298.366,622.861
100000000,447.142,331.16,692.167
