size,map_duration,reduce_duration,zip_duration
10000000,45.0984,33.5902,70.1473
20000000,95.6715,66.5099,139.585
30000000,136.339,99.8236,208.592
40000000,177.847,132.425,278.626
50000000,221.286,165.728,346.023
60000000,268.903,198.914,415.567
70000000,325.349,232.45,489.87
80000000,373.77,264.939,557.018
90000000,421.823,298.076,625.673
100000000,443.805,333.107,696.119
